,0,1,2,3,4,5,6
0,Months,Palm Oil,Palm Oil,Palm Kernel Oil,Palm Kernel Oil,Palm Kernel,Palm Kernel
1,Months,2020,2021,2020,2021,2020,2021
2,JANUARY,85033,168717,28684,30259,9442,1731
3,FEBRUARY,66735,87326,22320,21256,3803,4056
4,MARCH,79216,137332,20439,10009,5656,4147
5,APRIL,56596,109847,19148,14115,6197,5955
6,MAY,37101,,11498,,4361,
7,JUNE,48841,,12929,,4664,
8,JULY,52691,,38011,,6827,
9,AUGUST,32311,,13277,,3813,
10,SEPTEMBER,48273,,25697,,5564,
11,OCTOBER,45398,,11035,,1759,
12,NOVEMBER,112663,,36835,,4442,
13,DECEMBER,282058,,39411,,3022,
14,TOTAL,,,,,,
